day,country_code,request_types,requests
2021-09-09,US,auth,5803569.9827199979
2021-09-10,US,New Envelope,7673024.0
2021-09-10,US,RTIS,87240224.0
2021-09-10,US,Refresh,5180408.0
2021-09-10,US,auth,5643316.8025599988
2021-09-11,US,New Envelope,7431766.0
2021-09-11,US,RTIS,75579200.0
2021-09-11,US,Refresh,4154819.0
2021-09-11,US,auth,5258828.4550400013
2021-09-12,US,New Envelope,7456272.0
2021-09-12,US,RTIS,80337617.0
2021-09-12,US,Refresh,4187639.0
2021-09-12,US,auth,5280757.9756799992
2021-09-13,US,New Envelope,7701276.0
2021-09-13,US,RTIS,96649872.0
2021-09-13,US,Refresh,5587275.0
2021-09-13,US,auth,5757165.7094399994
2021-09-14,US,New Envelope,8314929.0
2021-09-14,US,RTIS,98427449.0
2021-09-14,US,Refresh,5642258.0
2021-09-14,US,auth,6122254.80576
2021-09-15,US,New Envelope,8536552.0
2021-09-15,US,RTIS,97045031.0
2021-09-15,US,Refresh,5820295.0
2021-09-15,US,auth,6292071.1788800005
2021-09-16,US,New Envelope,7669459.0
2021-09-16,US,RTIS,93382668.0
2021-09-16,US,Refresh,5584729.0
2021-09-16,US,auth,5738309.52896
2021-09-17,US,New Envelope,7819119.0
2021-09-17,US,RTIS,90325110.0
2021-09-17,US,Refresh,5340032.0
2021-09-17,US,auth,5765403.2793599954
2021-09-18,US,New Envelope,7629546.0
2021-09-18,US,RTIS,77247783.0
2021-09-18,US,Refresh,4376607.0
2021-09-18,US,auth,5425472.5382400015
2021-09-19,US,New Envelope,8080422.0
2021-09-19,US,RTIS,80607282.0
2021-09-19,US,Refresh,4493120.0
2021-09-19,US,auth,5711985.9916800018
2021-09-20,US,New Envelope,8248576.0
2021-09-20,US,RTIS,99181274.0
2021-09-20,US,Refresh,5797968.0
2021-09-20,US,auth,6121575.7414400009
2021-09-21,US,New Envelope,7880305.0
2021-09-21,US,RTIS,96241581.0
2021-09-21,US,Refresh,5855874.0
2021-09-21,US,auth,5924291.8592
2021-09-22,US,New Envelope,8192673.0
2021-09-22,US,RTIS,93866630.0
2021-09-22,US,Refresh,6011602.0
2021-09-22,US,auth,6140790.8851199951
2021-09-23,US,New Envelope,7978269.0
2021-09-23,US,RTIS,92451378.0
2021-09-23,US,Refresh,6094395.0
2021-09-23,US,auth,6037713.3753599962
2021-09-24,US,New Envelope,7659546.0
2021-09-24,US,RTIS,89000407.0
2021-09-24,US,Refresh,5703993.0
2021-09-24,US,auth,5761248.37824
2021-09-25,US,New Envelope,7482442.0
2021-09-25,US,RTIS,75822838.0
2021-09-25,US,Refresh,4611798.0
2021-09-25,US,auth,5397563.0604800051
2021-09-26,US,New Envelope,7750866.0
2021-09-26,US,RTIS,80209095.0
2021-09-26,US,Refresh,4684318.0
2021-09-26,US,auth,5568892.9190399982
2021-09-27,US,New Envelope,8184175.0
2021-09-27,US,RTIS,95139179.0
2021-09-27,US,Refresh,6187618.0
2021-09-27,US,auth,6178161.6320000021
2021-09-28,US,New Envelope,7883856.0
2021-09-28,US,RTIS,93421597.0
2021-09-28,US,Refresh,6326850.0
2021-09-28,US,auth,6039362.3846399989
2021-09-29,US,New Envelope,7781601.0
2021-09-29,US,RTIS,91985435.0
2021-09-29,US,Refresh,6392712.0
2021-09-29,US,auth,5996532.1574399984
2021-09-30,US,New Envelope,7790052.0
2021-09-30,US,RTIS,91261302.0
2021-09-30,US,Refresh,6254657.0
2021-09-30,US,auth,5968245.0988799985
2021-10-01,US,New Envelope,7555048.0
2021-10-01,US,RTIS,86890850.0
2021-10-01,US,Refresh,6030919.0
2021-10-01,US,auth,5779787.285120002
2021-10-02,US,New Envelope,7302667.0
2021-10-02,US,RTIS,74881565.0
2021-10-02,US,Refresh,4953226.0
2021-10-02,US,auth,5376415.60448
2021-10-03,US,New Envelope,7702288.0
2021-10-03,US,RTIS,80653143.0
2021-10-03,US,Refresh,5243907.0
2021-10-03,US,auth,5675337.7107200017
2021-10-04,US,New Envelope,8338964.0
2021-10-04,US,RTIS,98517199.0
2021-10-04,US,Refresh,6822068.0
2021-10-04,US,auth,6419191.83616
2021-10-05,US,New Envelope,9538181.0
2021-10-05,US,RTIS,93265018.0
2021-10-05,US,Refresh,6603599.0
2021-10-05,US,auth,7054438.2726400057
2021-10-06,US,New Envelope,8837601.0
2021-10-06,US,RTIS,94534368.0
2021-10-06,US,Refresh,6681840.0
2021-10-06,US,auth,6671475.5174399978
2021-10-07,US,New Envelope,8317622.0
2021-10-07,US,RTIS,95398556.0
2021-10-07,US,Refresh,6543214.0
2021-10-07,US,auth,6340028.5196800027
2021-10-08,US,New Envelope,8383039.0
2021-10-08,US,RTIS,90215067.0
2021-10-08,US,Refresh,6245243.0
2021-10-08,US,auth,6306028.2041600011
2021-10-09,US,New Envelope,7759427.0
2021-10-09,US,RTIS,76893765.0
2021-10-09,US,Refresh,4877176.0
2021-10-09,US,auth,5620088.0588799957
2021-10-10,US,New Envelope,8125774.0
2021-10-10,US,RTIS,82643354.0
2021-10-10,US,Refresh,5105079.0
2021-10-10,US,auth,5884862.8025599979
2021-10-11,US,New Envelope,8629474.0
2021-10-11,US,RTIS,98177658.0
2021-10-11,US,Refresh,6723320.0
2021-10-11,US,auth,6562082.3705600016
2021-10-12,US,New Envelope,8676680.0
2021-10-12,US,RTIS,99695782.0
2021-10-12,US,Refresh,6935173.0
2021-10-12,US,auth,6639996.8992
2021-10-13,US,New Envelope,8470254.0
2021-10-13,US,RTIS,97785626.0
2021-10-13,US,Refresh,6819254.0
2021-10-13,US,auth,6493803.4137600008
2021-10-14,US,New Envelope,8494381.0
2021-10-14,US,RTIS,96200566.0
2021-10-14,US,Refresh,6632348.0
